record_id,redcap_repeat_instrument,redcap_repeat_instance,id_complete,filler,title,publication_year,author_industry,authors_cro,country_first_author,country_last_author,competing_interest,publication_title,issn,promoter,funding___1,funding___2,funding___3,funding___4,funding___5,doi,notes_study,paper_complete,og_study,exp_arm_constr,exp_arm_constr_other,exp_arm_select___1,exp_arm_select___2,exp_arm_select___3,exp_arm_select___4,exp_arm_select___5,exp_arm_select_other,phase___1,phase___2,phase___3,phase___4,phase___5,phase_other,population___1,population___2,population___3,population___4,population___5,population___6,pathology,icd10,intervention,atc,platform___1,platform___2,platform___3,platform___4,platform___5,platform_other,platform_nct,platform_eudract,platform_isrctn,platform_nb_other,og_center_number,og_design,justif_sat_def___1,justif_sat_def___2,justif_sat_def___3,justif_sat_def___4,justif_sat_def___5,justif_sat_def_other,og_design_ctrl,og_design_comp___1,og_design_comp___2,og_design_comp___3,og_design_comp___4,og_design_comp___5,og_design_comp___6,og_design_comp___7,og_design_compo_other,og_fu_start,og_fu_start_other,exp_arm_date_crit,notes_exp_arm,experimental_arm_complete,nb_ctrl_comp_ind,nb_rct_cmp_ind,ctrl_source,ctrl_type_source___1,ctrl_type_source___2,ctrl_type_source___3,ctrl_type_source___4,ctrl_type_source___5,ctrl_type_source___6,ctrl_type_source___7,ctrl_type_source_other,ctrl_number_centers,same_center,ctrl_data_type,ctrl_data_type_other,ctrl_units,ctrl_arm_date_crit,ctrl_same_select_crit,ctrl_select_crit___1,ctrl_select_crit___2,ctrl_select_crit___3,ctrl_select_crit___4,ctrl_select_crit___5,ctrl_select_crit___6,ctrl_select_crit_other,ctrl_fu_start_def,ctrl_exp_fu_start_eq,qualif_ctrl___1,qualif_ctrl___2,qualif_ctrl___3,qualif_ctrl___4,qualif_ctrl_other,justif_rwd_def,justif_rwd_def_other,ctrl_ttt_selection_descr,notes_control,control_arm_complete,estimand,estimand_other,endpoint_type,multiplicity,def_prim_endpoint,prim_end_comp,endpoint_categ___1,endpoint_categ___2,endpoint_categ___3,endpoint_categ___4,nsn_justif,nsn_justif_other,alpha,power,nsn_planned_exp,nsn_planned_ctrl,nsn_correct,planned_adj,adj_method,adj_method_other,n_adj_vars,type_adj_vars___1,type_adj_vars___2,type_adj_vars___3,type_adj_vars___4,type_adj_vars_other,justif_adj_vars___1,justif_adj_vars___2,justif_adj_vars___3,justif_adj_vars___4,justif_adj_other,adj_vars_add_justif___1,adj_vars_add_justif___2,adj_vars_add_justif___3,adj_vars_add_justif_other,matching_ratio,matching_method,matching_meth_other,matching_algo___1,matching_algo___2,matching_algo___3,matching_algo___4,matching_algo___5,matching_algo_other,caliper_length,match_replacement,weight_type,weight_type_other,iptw_stab,balance_plan_meth___1,balance_plan_meth___2,balance_plan_meth___3,balance_plan_meth___4,balance_plan_meth___5,balance_plan_meth___6,balance_plan_meth___7,balance_plan_meth_other,smd_thresh,overlap_plan_meth___1,overlap_plan_meth___2,overlap_plan_meth___3,overlap_plan_meth___4,overlap_plan_meth_other,sens_analysis_type___1,sens_analysis_type___2,sens_analysis_type___3,sens_analysis_type___4,sens_analysis_type___5,sens_analysis_type___6,sens_analysis_type___7,sens_analysis_type___8,sens_analysis_type___9,sens_analysis_type___10,sens_analysis_type_other,notes_stat,statistical_methods_indirect_comparison_complete,rwd_descr,rwd_strategies,exp_first_enroll,exp_last_enroll,ctrl_first_enroll,ctrl_last_enroll,med_fu_global,med_fu_exp,med_fu_control,res_consistency,multiplicity_res,n_included_exp,n_included_control,n_included_control_lot,baseline_comp_meth___1,baseline_comp_meth___2,baseline_comp_meth___3,baseline_comp_meth___4,baseline_comp_meth___5,baseline_comp_meth___6,baseline_comp_meth___7,baseline_comp_meth_other,n_naive_exp,n_naive_ctrl,n_naive_ctrl_lot,res_unadjusted,n_match_exp,n_match_ctrl,n_match_ctrl_lot,n_weight_exp,n_weight_ctrl,n_weight_ctrl_lot,number_eff_adj,adj_var_exclu_causes___1,adj_var_exclu_causes___2,adj_var_exclu_causes___3,adj_var_exclu_causes___4,adj_var_exclu_causes___5,adj_var_exclu_causes___6,adj_var_exclu_other,weight_outliers_meth,weight_out_check_meth,balance_check,balance_proof,overlap_check,overlap_proof,balance_meth_where___1,balance_meth_where___2,balance_meth_where___3,res_diff_how,res_diff_how_other,res_diff_adjust,res_pseudo_pop,res_sign_eval,res_sign_eval_prim,res_sign_eval_mult,sign_results,sign_primary_endp,sign_multiple_endp,sens_analyses_sign,bias_discussion,bias_type___1,bias_type___2,bias_type___3,bias_type___4,bias_type___5,bias_type___6,bias_type___7,bias_type___8,bias_type___9,bias_type_other,notes_results,results_complete
4,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,1,0,0,0,0,,280,2,1,,2,1,1,0,0,0,0,0,0,,1,0,1,0,0,0,,6,,1,"NDS-NHL-001 (dont 11 sites + flatiron et cota RWE database);  QCC == cohorte baseline sACC == creee avec QCC patients ont mm distro de prior LOT que bras exp;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,NR,NR,2003,2018,NR,24.0,17.9,1,,257,381,NR,1,1,0,0,0,0,0,,,,,2,,,,257,257,NR,11,0,0,0,1,0,0,,4,,1,1,3,,0,1,0,4,,,1,1,1,2,1,1,2,1,1,1,0,0,1,0,0,0,1,0,,"??sACC LOT matched cohort;  on a results pr patients et non LOTs;  tout est sign sauf DOR mm resultats avec sens an;  biais: unmeasured confounders due to nature of design + exclusion of patients receiving exp ttt from ctrl databases + biais inherents aux RWD",1
5,,,2,MD,"Comparative effectiveness between mosunetuzumab monotherapy clinical trial and real-world data in relapsed/refractory follicular lymphoma in third or subsequent lines of systemic therapy",2023,1,0,usa,usa,1,"Leukemia & Lymphoma",1029-2403,roche,0,1,0,0,0,10.1080/10428194.2023.2262066,,2,1,5,"number of prior LOT",0,0,0,0,0,,1,1,0,0,0,,0,0,0,1,1,0,"relapsed refractory follicular lymphoma",2A80,mosunetuzumab,L01FX25,1,0,0,0,0,,NCT02500407,,,,26,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,3,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0,"overall response rate",2,1,0,0,0,3,,,,,,,1,2,,5,1,0,0,0,,0,0,1,0,,0,1,0,,,,,0,0,0,0,0,,,,2,,,0,1,0,0,0,0,0,,0.25,0,0,1,0,,0,0,0,0,0,0,1,1,1,0,"extended fu time in RWD cohort","og study primary endpoint == CR;  reestimation du PS pour chaque analyse?;  certaines vars demos pas inclues dans PS??;  ""Literature suggests a cutoff of up to 0.25"";  sens an: changement choix index line + changement crit incl control == changt crit incl;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,,280,2,1,,2,0,1,0,0,0,0,0,0,,2,,1,0,0,0,,4,"more contemporary comparison",0,"justif rwd previous SAT using historical EC need for contemporary comparison + strengthen interpretation of efficacy data;  flatiron;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,NR,NR,NR,NR,NR,18.0,15.0,1,,90,158,NR,1,1,0,0,0,0,0,,,,,4,,,,90,87,NR,5,0,0,1,0,0,0,,4,,1,1,3,,1,1,0,4,,,1,1,2,2,1,2,2,2,1,0,0,1,0,0,0,0,0,0,,"125 RWD evaluable pr reponse et 158 evaluables pour survival outcomes;  RWD ttt regimens described in appendix;  bias: unmeasured confounding due to RWD + small ESS",2
6,,,2,MD,"Amivantamab compared with real-world therapies in patients with advanced non-small cell lung cancer EGFR Exon 20 insertion mutations after platinum-based chemotherapy",2023,1,1,"south korea","south korea",1,"Acta Oncologica (Stockholm, Sweden)",1651-226X,"janssen asia pacific",0,1,0,0,0,10.1080/0284186X.2023.2254479,,2,1,3,,0,0,0,0,1,"number of treatment lines; progression",1,0,0,0,0,,0,0,0,1,1,0,"advanced non small cell lung cancer egfr exon 20 insertion mutation",2C25.0,amivantamab,L01FX18,1,0,0,0,0,,NCT02609776,,,,70,1,0,0,0,1,0,,,0,0,0,0,0,0,0,,2,,1,"og study == CHRYSALIS;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0,N/A,3,1,0,0,0,3,,,,,,,1,2,,4,0,0,1,0,,0,0,1,0,,0,1,0,,,,,0,0,0,0,0,,,,2,,,0,1,0,0,0,0,0,,0.1,0,0,1,0,,1,0,0,1,1,0,0,0,0,1,,"sensitivity analysis ctrl index date == first LOT au lieu de hernan;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,,200,2,1,,2,1,2,0,0,0,0,1,0,,1,1,1,0,0,0,,4,"comparison to other population with different prognosis",0,"rwd justif prognostic different chez asians;  LC SCRUMAsia database;  on apprend dans la discussion que certains crit inclusion pas dispos dans lc scrum asia;",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,results,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,NR,NR,2015,2020,NR,NR,NR,0,,115,94,309,1,1,0,0,1,0,0,,,,,1,,,,115,NR,114.6,4,0,0,0,1,0,0,,4,,1,1,3,,0,1,0,4,,,1,1,,1,1,,1,1,1,1,0,0,1,0,0,0,0,1,,"method consistency weighting planned but matching presented in results & EFS curves presented but no mention in methods;   309 LOT mais 114.6 ctrl patients??;  bias: unmeasured confounders in rwd, less comparability at baseline;",2
7,,,0,MD,"Comparative Effectiveness of Lurbinectedin for the Treatment of Relapsed Small Cell Lung Cancer in the Post-Platinum Setting: A Real-World Canadian Synthetic Control Arm Analysis",2023,1,0,canada,canada,1,"Targeted Oncology",1776-260X,,0,1,0,0,0,10.1007/s11523-023-00995-1," A EXCLURE: exp arm pas des ipd (donnes survie extraite courbe digitalisee)",0,1,,,0,0,0,0,0,,0,1,0,0,0,,0,0,0,1,1,0,"small cell lung cancer",2C25.1,lurbinectedin,L01XX69,1,0,0,0,0,,NCT02454972,,,,40,,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,control_arm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,,,,,,,,1,0,0,0,0,0,0,,,,1,0,1,0,,6,,,"plein de bases de donnees;",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
